X_Value,Strain1,Strain2,Strain3,Strain4
0,0.001684,-0.0006,0.000735,0.000505
0.5,0.001682,-0.000598,0.000732,0.000503
1,0.001681,-0.000598,0.000733,0.000505
1.5,0.001683,-0.000599,0.000734,0.000508
2,0.00168,-0.000599,0.000732,0.000502
2.5,0.001681,-0.000602,0.000735,0.000501
3,0.001678,-0.000598,0.000735,0.000502
3.5,0.001679,-0.0006,0.000731,0.000502
4,0.001681,-0.000601,0.000735,0.000504
4.5,0.00168,-0.000601,0.000731,0.000504
5,0.001679,-0.000602,0.000733,0.000505
5.5,0.001682,-0.000602,0.000731,0.000499
6,0.001678,-0.000602,0.000734,0.000501
6.5,0.00168,-0.000604,0.000732,0.000503
7,0.001681,-0.000603,0.000736,0.000503
7.5,0.001682,-0.000598,0.000732,0.000505
8,0.00168,-0.000603,0.000736,0.0005
8.5,0.001679,-0.000599,0.000734,0.000503
9,0.00168,-0.000603,0.000731,0.000501
9.5,0.001684,-0.000605,0.000736,0.000503
10,0.001681,-0.000603,0.000734,0.000505
10.5,0.001681,-0.000602,0.000736,0.000501
11,0.001674,-0.000604,0.000737,0.000503
11.5,0.001679,-0.000604,0.000738,0.000502
12,0.001682,-0.000601,0.000732,0.000498
12.5,0.001678,-0.000599,0.000731,0.000502
13,0.001677,-0.000601,0.000735,0.000499
13.5,0.001679,-0.000602,0.000733,0.000502
14,0.001682,-0.000607,0.000732,0.000499
14.5,0.00168,-0.000606,0.00073,0.000499
15,0.001678,-0.000604,0.000733,0.000499
15.5,0.001681,-0.000602,0.000736,0.000498
16,0.001678,-0.000604,0.000734,0.000499
16.5,0.001678,-0.000604,0.00073,0.000497
17,0.001682,-0.000604,0.000734,0.000501
17.5,0.001676,-0.000604,0.000734,0.000501
18,0.001682,-0.000604,0.000729,0.000498
18.5,0.001678,-0.000599,0.00073,0.0005
19,0.001678,-0.000599,0.000733,0.000498
19.5,0.001678,-0.000596,0.000732,0.0005
20,0.001678,-0.000597,0.000735,0.000504
20.5,0.001681,-0.000596,0.000733,0.000501
21,0.001677,-0.000597,0.000734,0.0005
21.5,0.001696,-0.00059,0.00072,0.000492
22,0.001713,-0.000584,0.000705,0.000484
22.5,0.001712,-0.000583,0.000706,0.000485
23,0.001709,-0.000584,0.00071,0.000494
23.5,0.001709,-0.000587,0.000712,0.000489
24,0.001706,-0.000585,0.000703,0.000487
24.5,0.001708,-0.000583,0.000709,0.000487
25,0.001705,-0.000586,0.000712,0.000489
25.5,0.001709,-0.000587,0.000711,0.00049
26,0.001703,-0.000589,0.00071,0.000491
26.5,0.001703,-0.000586,0.000713,0.000494
27,0.001703,-0.00059,0.00071,0.000491
27.5,0.001703,-0.000589,0.000709,0.000488
28,0.0017,-0.00059,0.000713,0.000488
28.5,0.001701,-0.000587,0.000711,0.000486
29,0.001706,-0.000587,0.000713,0.000489
29.5,0.001702,-0.000587,0.000712,0.000491
30,0.001705,-0.00059,0.000709,0.000491
30.5,0.001705,-0.000585,0.000712,0.000491
31,0.001675,-0.000601,0.000735,0.000499
31.5,0.00167,-0.000603,0.00074,0.000506
32,0.001675,-0.000601,0.000735,0.000503
32.5,0.001673,-0.0006,0.00074,0.0005
33,0.001676,-0.000602,0.000736,0.000501
33.5,0.001678,-0.000601,0.000734,0.0005
34,0.001679,-0.0006,0.000735,0.000505
34.5,0.001677,-0.000603,0.000738,0.000503
35,0.001674,-0.000598,0.000736,0.000503
35.5,0.001676,-0.000602,0.000733,0.000502
36,0.001682,-0.000602,0.000737,0.000502
36.5,0.001673,-0.000598,0.000735,0.000503
37,0.001674,-0.0006,0.000737,0.000501
37.5,0.001676,-0.000602,0.000736,0.000502
38,0.001673,-0.000601,0.000736,0.0005
38.5,0.001673,-0.000601,0.000735,0.000501
39,0.001677,-0.000603,0.000734,0.000503
39.5,0.001677,-0.0006,0.000737,0.000498
40,0.001675,-0.000604,0.000736,0.000502
40.5,0.001674,-0.0006,0.000736,0.0005
41,0.001679,-0.0006,0.000735,0.000501
41.5,0.001699,-0.000591,0.00072,0.000488
42,0.001721,-0.000582,0.000692,0.000478
42.5,0.001725,-0.000587,0.000697,0.00048
43,0.001716,-0.000586,0.000698,0.000485
